x_m,y_m,heading,theta_rad,kappa_1pm,v_mps,ld_m
12.5212983,15.8367131,-0.3311614,-0.3311614,-0.1169221,8.4391436,1.5
12.7105305,15.7716507,-0.3557985,-0.3557985,-0.1232686,8.4381776,1.5
12.8981232,15.7019387,-0.3813442,-0.3813442,-0.1278214,8.4380102,1.5
13.0838580,15.6274642,-0.4074809,-0.4074809,-0.1308029,8.4386644,1.5
13.2675488,15.5481760,-0.4339442,-0.4339442,-0.1324731,8.4401370,1.5
13.4490399,15.4640724,-0.4605264,-0.4605264,-0.1330878,8.4423946,1.5
13.6282001,15.3751902,-0.4870671,-0.4870671,-0.1328799,8.4453722,1.5
13.8049176,15.2815959,-0.5134461,-0.5134461,-0.1320524,8.4489712,1.5
13.9790950,15.1833787,-0.5395771,-0.5395771,-0.1307779,8.4530591,1.5
14.1506459,15.0806446,-0.5654000,-0.5654000,-0.1291998,8.4574723,1.5
14.3194930,14.9735115,-0.5908783,-0.5908783,-0.1274346,8.4620220,1.5
14.4855660,14.8621050,-0.6159912,-0.6159912,-0.1255738,8.4665036,1.5
14.6488005,14.7465555,-0.6407314,-0.6407314,-0.1236867,8.4707099,1.5
14.8091375,14.6269952,-0.6651038,-0.6651038,-0.1218231,8.4744449,1.5
14.9665220,14.5035561,-0.6891163,-0.6891163,-0.1200156,8.4775407,1.5
15.1209031,14.3763690,-0.7127827,-0.7127827,-0.1182823,8.4798743,1.5
15.2722334,14.2455623,-0.7361177,-0.7361177,-0.1166285,8.4813866,1.5
15.4204689,14.1112616,-0.7591343,-0.7591343,-0.1150478,8.4821059,1.5
15.5655694,13.9735895,-0.7818416,-0.7818416,-0.1135180,8.4821806,1.5
15.7074988,13.8326661,-0.8042400,-0.8042400,-0.1119978,8.4819282,1.5
15.8462263,13.6886098,-0.8263113,-0.8263113,-0.1104148,8.4819159,1.5
15.9817292,13.5415395,-0.8480070,-0.8480070,-0.1085713,8.4830969,1.5
16.1140319,13.3915390,-0.8692132,-0.8692132,-0.1063380,8.4874667,2.0
16.2431381,13.2387503,-0.8895698,-0.8895698,-0.1020378,8.4982555,2.0
16.3691086,13.0833639,-0.9086168,-0.9086168,-0.0954509,8.4999378,2.0
16.4920991,12.9256035,-0.9257908,-0.9257908,-0.0862195,8.4999706,2.0
16.6123591,12.7657584,-0.9402050,-0.9402050,-0.0721880,8.4999711,2.5
16.7302822,12.6042245,-0.9512530,-0.9512530,-0.0552538,8.4999702,3.0
16.8464048,12.4414099,-0.9589036,-0.9589036,-0.0381972,8.4999693,3.0
16.9612858,12.2777011,-0.9635179,-0.9635179,-0.0229688,8.4999687,3.0
17.0754102,12.1134639,-0.9656936,-0.9656936,-0.0107706,8.4999684,2.5
17.1891750,11.9489817,-0.9660640,-0.9660640,-0.0017613,8.4999681,2.5
17.3028787,11.7844576,-0.9651348,-0.9651348,0.0047191,8.4999679,3.0
17.4167347,11.6200400,-0.9632899,-0.9632899,0.0092815,8.4999678,3.0
17.5308938,11.4558328,-0.9608206,-0.9608206,0.0123951,8.4999677,3.0
17.6454580,11.2919080,-0.9579504,-0.9579504,0.0143909,8.4999677,3.0
17.7604923,11.1283126,-0.9548565,-0.9548565,0.0155041,8.4999677,3.0
17.8760324,10.9650736,-0.9516805,-0.9516805,0.0159074,8.4999677,3.0
17.9920905,10.8022022,-0.9485381,-0.9485381,0.0157344,8.4999677,3.0
18.1086599,10.6396962,-0.9455231,-0.9455231,0.0150936,8.4999677,3.0
18.2257188,10.4775423,-0.9427108,-0.9427108,0.0140774,8.4999677,3.0
18.3432333,10.3157182,-0.9401603,-0.9401603,0.0127661,8.4999676,3.0
18.4611601,10.1541944,-0.9379156,-0.9379156,0.0112315,8.4999676,3.0
18.5794492,9.9929357,-0.9360089,-0.9360089,0.0095378,8.4999676,2.5
18.6980455,9.8319029,-0.9344614,-0.9344614,0.0077428,8.4999676,2.5
18.8168908,9.6710539,-0.9332820,-0.9332820,0.0058987,8.4999676,2.5
18.9359257,9.5103452,-0.9324709,-0.9324709,0.0040526,8.4999676,2.5
19.0550910,9.3497330,-0.9320207,-0.9320207,0.0022478,8.4999676,2.5
19.1743287,9.1891743,-0.9319148,-0.9319148,0.0005238,8.4999676,2.5
19.2935835,9.0286281,-0.9321293,-0.9321293,-0.0010824,8.4999676,1.5
19.4128041,8.8680560,-0.9326343,-0.9326343,-0.0025355,8.4999676,1.5
19.5319439,8.7074233,-0.9333917,-0.9333917,-0.0038016,8.4999676,1.5
19.6509624,8.5466999,-0.9343579,-0.9343579,-0.0048475,8.4999676,2.0
19.7698259,8.3858611,-0.9354814,-0.9354814,-0.0056400,8.4999676,1.5
19.8885091,8.2248882,-0.9367052,-0.9367052,-0.0061466,8.4999675,1.0
20.0069955,8.0637698,-0.9379660,-0.9379660,-0.0063316,8.4999675,1.5
20.1252792,7.9025014,-0.9391930,-0.9391930,-0.0061739,8.4999675,1.5
20.2433650,7.7410879,-0.9403113,-0.9403113,-0.0055983,8.4999675,1.5
20.3612701,7.5795426,-0.9412811,-0.9412811,-0.0048886,8.4999675,1.5
20.4790234,7.4178763,-0.9420196,-0.9420196,-0.0038338,8.4999674,1.5
20.5966606,7.2561185,-0.9423267,-0.9423267,-0.0015256,8.4999674,1.5
20.7142449,7.0943290,-0.9421418,-0.9421418,0.0008705,8.4999673,1.5
20.8318582,6.9325625,-0.9413889,-0.9413889,0.0037048,8.4999672,1.5
20.9495934,6.7708844,-0.9399622,-0.9399622,0.0070725,8.4999672,1.5
21.0675589,6.6093748,-0.9377492,-0.9377492,0.0110038,8.4999671,1.5
21.1858815,6.4481267,-0.9346328,-0.9346328,0.0155163,8.4999671,1.5
21.3047059,6.2872483,-0.9304958,-0.9304958,0.0206198,8.4999671,1.5
21.4241948,6.1268629,-0.9252212,-0.9252212,0.0263128,8.4999672,1.5
21.5445279,5.9671101,-0.9186953,-0.9186953,0.0325731,8.4999673,2.0
21.6659008,5.8081462,-0.9108133,-0.9108133,0.0393669,8.4999676,1.5
21.7885227,5.6501441,-0.9014794,-0.9014794,0.0466051,8.4999681,1.5
21.9126137,5.4932938,-0.8905917,-0.8905917,0.0544114,8.4999688,1.5
22.0384046,5.3378044,-0.8780901,-0.8780901,0.0625309,8.4999697,1.5
22.1661289,5.1839004,-0.8639900,-0.8639900,0.0705426,8.4999706,1.5
22.2960098,5.0318134,-0.8483473,-0.8483473,0.0782806,8.4999711,1.5
22.4282528,4.8817777,-0.8312612,-0.8312612,0.0855238,8.4999711,1.5
22.5630388,4.7340245,-0.8128629,-0.8128629,0.0921024,8.4999702,1.5
22.7005190,4.5887773,-0.7933047,-0.7933047,0.0979128,8.4999684,1.5
22.8408120,4.4462481,-0.7727470,-0.7727470,0.1029170,8.4999656,1.5
22.9840036,4.3066345,-0.7513458,-0.7513458,0.1071327,8.4999620,1.5
23.1301503,4.1701169,-0.7292473,-0.7292473,0.1106135,8.4999583,1.5
23.2792901,4.0368511,-0.7065813,-0.7065813,0.1134214,8.4999552,1.5
23.4314128,3.9069989,-0.6834637,-0.6834637,0.1156495,8.4999537,1.5
23.5864972,3.7806972,-0.6599896,-0.6599896,0.1174160,8.4999542,1.5
23.7445037,3.6580702,-0.6362377,-0.6362377,0.1187890,8.4999573,1.5
23.9053777,3.5392306,-0.6122831,-0.6122831,0.1197967,8.4999608,1.5
24.0690509,3.4242792,-0.5881875,-0.5881875,0.1204938,8.4999636,1.5
24.2354445,3.3133057,-0.5640066,-0.5640066,0.1209121,8.4999703,1.5
24.4044688,3.2063902,-0.5397957,-0.5397957,0.1210703,8.4999803,1.5
24.5760313,3.1035982,-0.5155704,-0.5155704,0.1210902,8.4999218,1.5
24.7500152,3.0050024,-0.4912504,-0.4912504,0.1217310,8.4998699,1.5
24.9263201,2.9106801,-0.4670992,-0.4670992,0.1208201,8.4999336,1.5
25.1048733,2.8206318,-0.4432766,-0.4432766,0.1191255,8.4999639,1.5
25.2855340,2.7348560,-0.4197346,-0.4197346,0.1177644,8.4999654,1.5
25.4681624,2.6533573,-0.3966062,-0.3966062,0.1157409,8.4999661,1.5
25.6526289,2.5761030,-0.3740822,-0.3740822,0.1127778,8.4999664,1.5
25.8387908,2.5030220,-0.3524290,-0.3524290,0.1085159,8.4999665,1.5
26.0264933,2.4339881,-0.3319775,-0.3319775,0.1024914,8.4999665,1.5
26.2155673,2.3688075,-0.3130714,-0.3130714,0.0946765,8.4999664,1.5
26.4058388,2.3072133,-0.2959557,-0.2959557,0.0856133,8.4999663,1.5
26.5971356,2.2488849,-0.2806576,-0.2806576,0.0764362,8.4999662,1.5
26.7893016,2.1934899,-0.2669526,-0.2669526,0.0684220,8.4999661,1.5
26.9822085,2.1407337,-0.2544476,-0.2544476,0.0624199,8.4999661,1.5
27.1757607,2.0903937,-0.2426943,-0.2426943,0.0586708,8.4999660,1.5
27.3698932,2.0423315,-0.2312809,-0.2312809,0.0569840,8.4999660,1.5
27.5645645,1.9964874,-0.2198690,-0.2198690,0.0569824,8.4999661,1.5
27.7597499,1.9528670,-0.2082033,-0.2082033,0.0582638,8.4999661,2.0
27.9554346,1.9115257,-0.1960963,-0.1960963,0.0604740,8.4999661,2.0
28.1516091,1.8725558,-0.1834240,-0.1834240,0.0633140,8.4999659,2.0
28.3482647,1.8360744,-0.1701094,-0.1701094,0.0665452,8.4999655,2.0
28.5453795,1.8022161,-0.1561179,-0.1561179,0.0699531,8.4999655,2.0
28.7429313,1.7711217,-0.1414448,-0.1414448,0.0733703,8.4999660,2.0
28.9409205,1.7429289,-0.1260859,-0.1260859,0.0767922,8.4999665,2.0
29.1393217,1.7177799,-0.1100424,-0.1100424,0.0802259,8.4999670,2.0
29.3381031,1.6958168,-0.0933201,-0.0933201,0.0836180,8.4999674,2.0
29.5372260,1.6771805,-0.0759429,-0.0759429,0.0868988,8.4999678,1.5
29.7366444,1.6620069,-0.0579450,-0.0579450,0.0900039,8.4999679,1.5
29.9363050,1.6504246,-0.0393742,-0.0393742,0.0928695,8.4999678,1.5
30.1361474,1.6425519,-0.0202916,-0.0202916,0.0954276,8.4999674,1.5
30.3361045,1.6384939,-0.0007715,-0.0007715,0.0976162,8.4999667,1.5
30.5361032,1.6383396,0.0191012,0.0191012,0.0993803,8.4999656,1.5
30.7360660,1.6421596,0.0392317,0.0392317,0.1006716,8.4999643,1.5
30.9359115,1.6500039,0.0595163,0.0595163,0.1014424,8.4999629,1.5
31.1355569,1.6619001,0.0798395,0.0798395,0.1016379,8.4999616,1.5
31.3349193,1.6778510,0.1000737,0.1000737,0.1011987,8.4999615,1.5
31.5339181,1.6978323,0.1200894,0.1200894,0.1001025,8.4999629,1.5
31.7324770,1.7217924,0.1397530,0.1397530,0.0983471,8.4999643,1.5
31.9305264,1.7496520,0.1589340,0.1589340,0.0959293,8.4999652,1.5
32.1280048,1.7813050,0.1775132,0.1775132,0.0929155,8.4999659,1.5
32.3248610,1.8166213,0.1954073,0.1954073,0.0894727,8.4999664,1.5
32.5210536,1.8554543,0.2125845,0.2125845,0.0858690,8.4999667,1.5
32.7165501,1.8976514,0.2290834,0.2290834,0.0824515,8.4999670,1.5
32.9113238,1.9430681,0.2450140,0.2450140,0.0795866,8.4999672,1.5
33.1053491,1.9915817,0.2605479,0.2605479,0.0775884,8.4999675,1.5
33.2985974,2.0431033,0.2758980,0.2758980,0.0766629,8.4999678,1.5
33.4910321,2.0975851,0.2912954,0.2912954,0.0768969,8.4999682,1.5
33.6826051,2.1550233,0.3069613,0.3069613,0.0782414,8.4999687,1.5
33.8732548,2.2154555,0.3231100,0.3231100,0.0806587,8.4999694,1.5
34.0629037,2.2789584,0.3399304,0.3399304,0.0840580,8.4999701,1.5
34.2514576,2.3456421,0.3575366,0.3575366,0.0880141,8.4999706,1.5
34.4388080,2.4156349,0.3759748,0.3759748,0.0921920,8.4999708,1.5
34.6248358,2.4890699,0.3952506,0.3952506,0.0964038,8.4999704,1.5
34.8094132,2.5660767,0.4153247,0.4153247,0.1004158,8.4999694,1.5
34.9924073,2.6467728,0.4361304,0.4361304,0.1040809,8.4999676,1.5
35.1736826,2.7312583,0.4575814,0.4575814,0.1073159,8.4999653,1.5
35.3531036,2.8196124,0.4795878,0.4795878,0.1100912,8.4999626,1.5
35.5305366,2.9118930,0.5020585,0.5020585,0.1124153,8.4999599,1.5
35.7058510,3.0081368,0.5249102,0.5249102,0.1143144,8.4999575,1.5
35.8789202,3.1083612,0.5480674,0.5480674,0.1158388,8.4999559,1.5
36.0496220,3.2125660,0.5714706,0.5714706,0.1170593,8.4999548,1.5
36.2178383,3.3207367,0.5950654,0.5950654,0.1180174,8.4999539,1.5
36.3834561,3.4328462,0.6188075,0.6188075,0.1187469,8.4999534,1.5
36.5463667,3.5488565,0.6426597,0.6426597,0.1192892,8.4999536,1.5
36.7064641,3.6687192,0.6665949,0.6665949,0.1196937,8.4999560,1.5
36.8636469,3.7923791,0.6905975,0.6905975,0.1200025,8.4999662,1.5
37.0178164,3.9197757,0.7146621,0.7146621,0.1203806,8.4999874,1.5
37.1688771,4.0508462,0.7387388,0.7387388,0.1203718,8.4999869,1.5
37.3167400,4.1855167,0.7628360,0.7628360,0.1204857,8.4999527,1.5
37.4613156,4.3237113,0.7869630,0.7869630,0.1206415,8.4999206,1.5
37.6025158,4.4653541,0.8111155,0.8111155,0.1207619,8.4999090,1.5
37.7402547,4.6103662,0.8352888,0.8352888,0.1208657,8.4999173,1.5
37.8744489,4.7586659,0.8594823,0.8594823,0.1209647,8.4999366,1.5
