x_m,y_m,heading,theta_rad,kappa_1pm,v_mps,ld_m
18.0016286,-75.4448934,2.6722063,2.6722063,-0.0663679,8.4999687,1.274995
17.8232967,-75.3544445,2.6576828,2.6576828,-0.0726767,8.4999691,1.274995
17.6462996,-75.2614165,2.6419750,2.6419750,-0.0786326,8.4999692,1.274995
17.4707880,-75.1656212,2.6251962,2.6251962,-0.0840261,8.4999688,1.274995
17.2968914,-75.0668850,2.6074934,2.6074934,-0.0886525,8.4999678,1.274995
17.1247589,-74.9650795,2.5890459,2.5890459,-0.0923642,8.4999662,1.274995
16.9545361,-74.8601176,2.5700555,2.5700555,-0.0950633,8.4999642,1.274995
16.7863399,-74.7519440,2.5507464,2.5507464,-0.0966469,8.4999625,1.274994
16.6202664,-74.6405449,2.5313667,2.5313667,-0.0969972,8.4999623,1.274994
16.4563856,-74.5259504,2.5121922,2.5121922,-0.0959665,8.4999631,1.274994
16.2947348,-74.4082368,2.4935377,2.4935377,-0.0933735,8.4999638,1.274995
16.1353106,-74.2875304,2.4757511,2.4757511,-0.0890431,8.4999644,1.274995
15.9780611,-74.1640097,2.4591966,2.4591966,-0.0828921,8.4999649,1.274995
15.8228804,-74.0379049,2.4442262,2.4442262,-0.0749682,8.4999652,1.274995
15.6696069,-73.9094929,2.4311231,2.4311231,-0.0655936,8.4999654,1.274995
15.5180301,-73.7790845,2.4200447,2.4200447,-0.0553911,8.4999654,1.274995
15.3679016,-73.6469999,2.4109974,2.4109974,-0.0451393,8.4999654,1.274995
15.2189657,-73.5135548,2.4038567,2.4038567,-0.0355926,8.4999654,1.274995
15.0709945,-73.3790569,2.3984067,2.3984067,-0.0271491,8.4999653,1.274995
14.9237654,-73.2437609,2.3943909,2.3943909,-0.0200030,8.4999652,1.274995
14.7770854,-73.1078790,2.3915375,2.3915375,-0.0142020,8.4999652,1.274995
14.6307952,-72.9715805,2.3895784,2.3895784,-0.0097344,8.4999651,1.274995
14.4847686,-72.8349922,2.3882653,2.3882653,-0.0064891,8.4999651,1.274995
14.3389180,-72.6982090,2.3873377,2.3873377,-0.0046186,8.4999651,1.274995
14.1931798,-72.5612769,2.3866256,2.3866256,-0.0033491,8.4999652,1.274995
14.0475308,-72.4242332,2.3856986,2.3856986,-0.0040984,8.4999653,1.274995
13.9020305,-72.2870749,2.3840441,2.3840441,-0.0094612,8.4999656,1.274995
13.7567214,-72.1496421,2.3825721,2.3825721,-0.0070329,8.4999660,1.274995
13.6116084,-72.0119895,2.3812621,2.3812621,-0.0061424,8.4999664,1.274995
13.4667018,-71.8741716,2.3796997,2.3796997,-0.0078491,8.4999668,1.274995
13.3220296,-71.7361455,2.3778205,2.3778205,-0.0092944,8.4999672,1.274995
13.1776255,-71.5978559,2.3755336,2.3755336,-0.0113724,8.4999674,1.274995
13.0335375,-71.4592359,2.3727469,2.3727469,-0.0138646,8.4999677,1.274995
12.8898287,-71.3202075,2.3693552,2.3693552,-0.0168972,8.4999679,1.274995
12.7465813,-71.1806818,2.3652513,2.3652513,-0.0204737,8.4999682,1.274995
12.6038969,-71.0405588,2.3603170,2.3603170,-0.0246343,8.4999685,1.274995
12.4618970,-70.8997249,2.3544444,2.3544444,-0.0293273,8.4999688,1.274995
12.3207249,-70.7580578,2.3475104,2.3475104,-0.0346540,8.4999693,1.274995
12.1805368,-70.6154135,2.3394298,2.3394298,-0.0403537,8.4999699,1.274995
12.0415194,-70.4716550,2.3300141,2.3300141,-0.0471224,8.4999708,1.274996
