x_m,y_m,heading,theta_rad,kappa_1pm,v_mps
1.9639851,25.0075490,0.0330161,0.0330161,-0.0001623,8.4999677
2.1638329,25.0141496,0.0329786,0.0329786,-0.0001875,8.4999677
2.3636809,25.0207427,0.0329361,0.0329361,-0.0002133,8.4999677
2.5635292,25.0273273,0.0328880,0.0328880,-0.0002393,8.4999677
2.7633778,25.0339023,0.0328355,0.0328355,-0.0002647,8.4999677
2.9632268,25.0404668,0.0327775,0.0327775,-0.0002888,8.4999677
3.1630761,25.0470197,0.0327154,0.0327154,-0.0003104,8.4999677
3.3629259,25.0535602,0.0326499,0.0326499,-0.0003285,8.4999677
3.5627760,25.0600876,0.0325818,0.0325818,-0.0003416,8.4999677
3.7626267,25.0666014,0.0325123,0.0325123,-0.0003483,8.4999677
3.9624777,25.0731013,0.0324427,0.0324427,-0.0003467,8.4999677
4.1623292,25.0795873,0.0323756,0.0323756,-0.0003349,8.4999677
4.3621812,25.0860599,0.0323141,0.0323141,-0.0003106,8.4999677
4.5620336,25.0925202,0.0322596,0.0322596,-0.0002717,8.4999677
4.7618862,25.0989696,0.0322170,0.0322170,-0.0002156,8.4999677
4.9617392,25.1054105,0.0321890,0.0321890,-0.0001395,8.4999677
5.1615924,25.1118458,0.0321815,0.0321815,-0.0000409,8.4999677
5.3614456,25.1182796,0.0321980,0.0321980,0.0000831,8.4999677
5.5612987,25.1247167,0.0322451,0.0322451,0.0002352,8.4999677
5.7611514,25.1311632,0.0323291,0.0323291,0.0004181,8.4999677
5.9610037,25.1376265,0.0324562,0.0324562,0.0006340,8.4999677
6.1608551,25.1441152,0.0326339,0.0326339,0.0008855,8.4999677
6.3607053,25.1506394,0.0328685,0.0328685,0.0011724,8.4999677
6.5605540,25.1572105,0.0331687,0.0331687,0.0015021,8.4999677
6.7604008,25.1638416,0.0335338,0.0335338,0.0018238,8.4999677
6.9602436,25.1705456,0.0339675,0.0339675,0.0021641,8.4999677
